name,city,state,naics,ammonia_lb,program_level,accidents,recent_accidents,submissions,rmp_id,url,lat,lon,validated,validation_note,account
Americold - Chesapeake,Chesapeake,VA,49312,42000,3,0,0,9,100000001749,www.Americold.com,36.780451,-076.371054,True,,Americold Realty Trust
Americold - La Porte,La Porte,TX,49312,30000,3,0,0,11,100000010105,,29.669499,-095.017946,True,,Americold Realty Trust
Americold Sanford,Sanford,NC,49312,18000,3,0,0,7,100000010374,www.Americold.com,35.517806,-79.213783,True,,Americold Realty Trust
Americold - Sumter,Sumter,SC,49312,12000,3,1,0,23,100000011417,www.Americold.com,33.868205,-080.385631,True,,Americold Realty Trust
"Americold,  Benson",Benson,NC,49312,35000,3,0,0,8,100000011569,https://www.americold.com/,35.414301,-078.514907,True,,Americold Realty Trust
Americold - Lancaster,Mountville,PA,49312,18700,3,0,0,6,100000028436,www.americold.com,40.042676,-76.418601,True,,Americold Realty Trust
"Americold, York - Willow Springs",York,PA,49312,10500,3,1,0,6,100000028463,www.americold.com,40.042510,-076.740170,True,,Americold Realty Trust
"Americold Hatfield, PA",Hatfield,PA,49312,21600,3,2,0,16,100000028481,www.americold.com,40.291389,-075.300556,True,,Americold Realty Trust
Americold - Douglas,Douglas,GA,49312,16000,3,1,0,7,100000028542,WWW.Americold.com,31.532711,-082.854133,True,,Americold Realty Trust
Americold - Samuels,Fort Worth,TX,49312,12000,3,0,0,19,100000028631,Americold.com,32.775589,-097.335091,True,,Americold Realty Trust
Americold - East Point,East Point,GA,49312,9000,3,1,0,17,100000028864,www.americold.com,33.690309,-84.430203,True,,Americold Realty Trust
Americold - Houston,Houston,TX,49312,10000,3,0,0,7,100000029248,www.americold.com,29.951100,-095.384800,True,,Americold Realty Trust
Americold - Blue Mound Road,Fort Worth,TX,49312,11000,3,0,0,7,100000029275,,32.829311,-097.341072,True,,Americold Realty Trust
Americold - Salinas 2118,Salinas,CA,49312,22000,3,1,0,9,100000029328,www.americold.com,36.659745,-121.635542,True,,Americold Realty Trust
Americold - Modesto 2115,Modesto,CA,49312,80000,3,1,1,15,100000029346,www.americold.com,37.635907,-120.962275,True,,Americold Realty Trust
Americold - Sikeston,Sikeston,MO,49312,20174,3,0,0,6,100000042964,,36.926989,-089.620878,True,,Americold Realty Trust
Americold-Dallas,Dallas,TX,49312,9500,3,1,0,10,100000052097,www.americold.com,32.788647,-96.674231,True,,Americold Realty Trust
Americold - Gainesville,Gainesville,GA,49312,48000,3,0,0,8,100000061309,www.Americold.com,34.246586,-083.804358,True,,Americold Realty Trust
"Americold, Belvidere",Belvidere,IL,49312,17167,3,0,0,8,100000061844,www.americold.com,42.251528,-088.882500,True,,Americold Realty Trust
Americold-Jefferson,Jefferson,WI,49312,34884,3,0,0,7,100000062004,americold.com,42.989444,-088.811667,True,,Americold Realty Trust
Americold- Vernon Plant 2102,Vernon,CA,49312,10000,3,1,0,14,100000066698,www.americold.com,34.005444,-118.210694,True,,Americold Realty Trust
Americold Empire,Atlanta,GA,49312,24200,3,3,0,8,100000071673,www.Americold.com,33.660329,-084.394017,True,,Americold Realty Trust
Americold Rockmart,Rockmart,GA,49312,42600,3,0,0,6,100000071735,www.Americold.com,34.025020,-085.049221,True,,Americold Realty Trust
Americold  - Oxford,Oxford,AL,49312,17500,3,1,0,6,100000071815,,33.591270,-085.859023,True,,Americold Realty Trust
Americold - Pleasantdale,Atlanta,GA,49312,110200,3,4,0,10,100000071904,,33.910278,-084.248546,True,,Americold Realty Trust
Americold - Piedmont,Piedmont,SC,49312,16800,3,0,0,7,100000085846,americold.com,34.727494,-082.382989,True,,Americold Realty Trust
Americold - Lynden 2340,Lynden,WA,49312,54020,3,1,0,7,100000093828,www.americold.com,48.945892,-122.455208,True,,Americold Realty Trust
Americold - Johnson,Johnson,AR,49312,62945,3,1,0,11,100000102612,www.Americold.com,36.125556,-094.169444,True,,Americold Realty Trust
Americold - Russellville 324,Russellville,AR,49312,20440,3,0,0,6,100000104317,www.Americold.com,35.271808,-93.093491,True,,Americold Realty Trust
Americold - Chambersburg PA,Chambersburg,PA,49312,20000,3,0,0,7,100000117492,www.americold.com,39.908262,-077.656796,True,,Americold Realty Trust
Americold - Napoleon,Napoleon,OH,49312,13500,3,1,0,11,100000138656,www.americold.com,41.412188,-084.099587,True,,Americold Realty Trust
Americold - Fairfield OH,Fairfield,OH,49312,14800,3,0,0,8,100000140288,,39.328721,-084.505500,True,,Americold Realty Trust
"Americold, LEMARS",Lemars,IA,49312,10500,3,0,0,6,100000141063,,42.772222,-096.185000,True,,Americold Realty Trust
"Americold, Sioux City Plant 6",Sioux City,IA,49312,63000,3,0,0,6,100000141152,,42.426111,-96.373056,True,,Americold Realty Trust
Americold - Lowell,Lowell,AR,49312,33964,3,2,0,7,100000141839,www.Americold.com,36.262778,-094.135000,True,,Americold Realty Trust
Americold Fort Smith 45,Fort Smith,AR,49312,25847,3,0,0,8,100000142605,www.Americold.com,35.304195,-094.380998,True,,Americold Realty Trust
